gene	n_pairs_any	n_variants_any	median_tumor_AF	median_tumor_DP	median_normal_AF	median_normal_DP	pairs_any	caution_reason_symbol	n_pairs_high	n_high	n_pairs_moderate	n_moderate	n_pairs_low	n_low	n_pairs_modifier	n_modifier	n_pairs_low_splice_region	n_low_splice_region	n_pairs_functional_strict	n_functional_strict	n_pairs_functional_extended	n_functional_extended	has_symbol_caution	caution_reason_data	caution_reason	has_caution_flag	unbiased_somatic_gene_score	unbiased_somatic_gene_score_caution_adjusted
FOXD4L1	4	6	0.095	61.0	0.0525	27.0	candidate_kenya_pair_004,candidate_kenya_pair_009,candidate_kenya_pair_013,candidate_kenya_pair_020	.	0	0	3	3	3	3	0	0	0	0	3	3	3	3	False	.	.	False	18	18
GATA6	3	3	0.099	81.0	0.031	31.0	candidate_kenya_pair_006,candidate_kenya_pair_010,candidate_kenya_pair_015	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
KIAA1549	4	4	0.07200000000000001	100.5	0.0325	48.5	candidate_kenya_pair_005,candidate_kenya_pair_007,candidate_kenya_pair_009,candidate_kenya_pair_017	.	0	0	3	3	0	0	1	1	0	0	3	3	3	3	False	.	.	False	18	18
MUC17	3	3	0.174	541.0	0.00517	374.0	candidate_kenya_pair_002,candidate_kenya_pair_006,candidate_kenya_pair_016	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
NACA	5	6	0.101	49.5	0.0635	23.5	candidate_kenya_pair_003,candidate_kenya_pair_004,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_014	.	0	0	3	3	1	1	1	2	0	0	3	3	3	3	False	.	.	False	18	18
NCOR2	9	11	0.113	44.0	0.053	21.0	candidate_kenya_pair_003,candidate_kenya_pair_004,candidate_kenya_pair_005,candidate_kenya_pair_007,candidate_kenya_pair_008,candidate_kenya_pair_013,candidate_kenya_pair_019,candidate_kenya_pair_020,candidate_kenya_pair_021	.	0	0	3	3	1	1	6	7	0	0	3	3	3	3	False	.	.	False	18	18
PLXNA1	6	7	0.065	95.0	0.02	68.0	candidate_kenya_pair_004,candidate_kenya_pair_006,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_015,candidate_kenya_pair_021	.	0	0	3	3	1	1	3	3	0	0	3	3	3	3	False	.	.	False	18	18
PXDN	5	5	0.04	190.0	0.015	101.0	candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_010,candidate_kenya_pair_012,candidate_kenya_pair_014	.	0	0	3	3	0	0	2	2	0	0	3	3	3	3	False	.	.	False	18	18
RIF1	5	6	0.08499999999999999	104.5	0.023	60.0	candidate_kenya_pair_006,candidate_kenya_pair_008,candidate_kenya_pair_013,candidate_kenya_pair_020,candidate_kenya_pair_021	.	0	0	3	3	0	0	2	3	0	0	3	3	3	3	False	.	.	False	18	18
RNF112	4	4	0.089	69.0	0.037	38.5	candidate_kenya_pair_003,candidate_kenya_pair_004,candidate_kenya_pair_009,candidate_kenya_pair_012	.	0	0	3	3	0	0	1	1	0	0	3	3	3	3	False	.	.	False	18	18
RYR3	5	7	0.1	70.0	0.026	61.0	candidate_kenya_pair_006,candidate_kenya_pair_008,candidate_kenya_pair_009,candidate_kenya_pair_013,candidate_kenya_pair_021	.	0	0	3	3	0	0	3	4	0	0	3	3	3	3	False	.	.	False	18	18
SYNPO2L	4	4	0.064	90.0	0.0385	26.5	candidate_kenya_pair_005,candidate_kenya_pair_007,candidate_kenya_pair_014,candidate_kenya_pair_018	.	0	0	3	3	0	0	1	1	0	0	3	3	3	3	False	.	.	False	18	18
TERF2	3	3	0.06	108.0	0.023	73.0	candidate_kenya_pair_003,candidate_kenya_pair_008,candidate_kenya_pair_019	.	0	0	3	3	0	0	0	0	0	0	3	3	3	3	False	.	.	False	18	18
