fold,target,model,accuracy,weighted_f1
1,ihc,rf,1.0,1.0
2,ihc,rf,1.0,1.0
3,ihc,rf,0.9583333333333334,0.9579124579124578
4,ihc,rf,0.9166666666666666,0.9173718438424321
5,ihc,rf,0.9583333333333334,0.9532828282828283
6,ihc,rf,1.0,1.0
7,ihc,rf,0.9583333333333334,0.9592352092352092
8,ihc,rf,1.0,1.0
9,ihc,rf,1.0,1.0
10,ihc,rf,0.9583333333333334,0.9587542087542088
1,ihc,gb,0.9583333333333334,0.9595088819226751
2,ihc,gb,0.9583333333333334,0.9532828282828283
3,ihc,gb,0.9583333333333334,0.9579124579124578
4,ihc,gb,0.9166666666666666,0.9173718438424321
5,ihc,gb,0.9583333333333334,0.9532828282828283
6,ihc,gb,0.9583333333333334,0.957244008714597
7,ihc,gb,0.9583333333333334,0.9592352092352092
8,ihc,gb,1.0,1.0
9,ihc,gb,1.0,1.0
10,ihc,gb,0.9166666666666666,0.917755991285403
